ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779576303,2346,270,602,26727561,16547.58
1779576308,2351,270,602,26815677,17301.87
1779576313,2356,270,602,26905461,17759.60
1779576318,2361,270,602,26997721,17858.73
1779576323,2366,270,602,27082919,17289.18
1779576328,2371,270,602,27171495,17382.44
1779576333,2376,270,602,27255357,3108.11
1779576338,2381,270,602,27278387,18217.76
1779576343,2386,270,602,27367994,17883.29
1779576349,2392,270,602,27454287,17055.16
1779576354,2397,270,602,27544038,17297.48
1779576359,2402,270,602,27633330,17626.55
1779576364,2407,270,602,27719244,17280.63
1779576369,2412,270,602,27810133,17814.60
1779576374,2417,270,602,27898358,17410.85
1779576379,2422,270,602,27963556,15171.41
1779576384,2427,270,603,28050459,16664.90
1779576389,2432,270,603,28136600,16828.07
1779576394,2437,270,603,28211953,14493.72
1779576399,2442,270,603,28277331,12999.66
1779576404,2447,270,603,28342820,13167.95
1779576410,2453,270,603,28403471,12496.08
1779576415,2458,270,603,28465827,12333.22
1779576420,2463,270,603,28531254,12924.00
1779576425,2468,270,603,28588407,12827.93
1779576430,2473,270,603,28649673,12114.25
1779576435,2478,270,603,28718766,13456.55
1779576440,2483,270,603,28777562,11808.05
1779576445,2488,270,603,28840444,12130.78
1779576450,2493,270,603,28904629,13015.67
1779576455,2498,270,603,28970174,13065.82
1779576460,2503,270,603,29035608,12974.16
1779576465,2508,270,603,29076572,1704.96
1779576471,2514,270,603,29082759,1297.23
1779576476,2519,270,603,29088212,1120.44
1779576481,2524,270,603,29092288,810.58
1779576486,2529,270,603,29094352,469.81
1779576491,2534,270,603,29097828,654.08
1779576496,2539,270,603,29101382,733.92
1779576501,2544,270,603,29104008,580.20
1779576506,2549,270,603,29107851,709.78
1779576511,2554,270,603,29111952,825.58
1779576516,2559,270,603,29122904,11221.60
1779576522,2565,270,603,29184680,11946.75
1779576527,2570,270,603,29246322,12374.83
1779576532,2575,270,603,29311407,12494.69
1779576537,2580,270,603,29382359,13363.60
1779576542,2585,270,603,29445779,12355.31
1779576547,2590,270,603,29514817,13396.74
1779576552,2595,270,603,29580506,12673.52
1779576557,2600,270,603,29645103,12469.47
1779576562,2605,270,603,29710543,13058.15
1779576568,2611,270,603,29776697,12861.09
1779576573,2616,270,603,29843263,13005.41
1779576578,2621,270,603,29904642,12305.04
1779576583,2626,270,603,29966326,12038.52
1779576588,2631,270,603,30031067,12722.69
